From,To,Relationship
D189_K2,D189_K2_HV,Quy định
D189_K2,D189_K2_OR,Cần điều kiện
D189_K2_OR,D189_K2_Da,Gồm
D189_K2_OR,D189_K2_Db,Gồm
D189_K2_OR,D189_K2_Dc,Gồm
D189_K2_OR,D189_K2_Dd,Gồm
D189_K2_OR,D189_K2_Dđ,Gồm
D189_K2_OR,D189_K2_De,Gồm
D189_K2_OR,D189_K2_Dg,Gồm
D189_K2_OR,D189_K2_HP,Áp dụng
D189,D189_K3,Gồm
D189_K3,D189_K3_HV,Quy định
D189_K3,D189_K3_HP,Áp dụng
D189,D189_K4,Gồm
D189_K4,D189_K4_HV,Quy định
D189_K4,D189_K4_HP,Áp dụng
D189,D189_K5,Gồm
D189_K5,D189_K5_HV,Quy định
D189_K5,D189_K5_OR_a,Cần điều kiện
D189_K5_OR_a,D189_K5_Da,Gồm
D189_K5_OR_a,D189_K5_HP_a,Áp dụng
D189_K5,D189_K5_OR_b,Cần điều kiện
D189_K5_OR_b,D189_K5_Db,Gồm
D189_K5_OR_b,D189_K5_HP_b,Áp dụng
D189_K5,D189_K5_OR_c,Cần điều kiện
D189_K5_OR_c,D189_K5_Dc,Gồm
D189_K5_OR_c,D189_K5_HP_c,Áp dụng
D189_K5,D189_K5_OR_d,Cần điều kiện
D189_K5_OR_d,D189_K5_Dd,Gồm
D189_K5_OR_d,D189_K5_HP_d,Áp dụng
D189_K5,D189_K5_OR_đ,Cần điều kiện
D189_K5_OR_đ,D189_K5_Dđ,Gồm
D189_K5_OR_đ,D189_K5_HP_đ,Áp dụng
D190,D190_K1,Gồm
D190_K1,D190_K1_HV,Quy định
D190_K1,D190_K1_OR,Cần điều kiện
D190_K1_OR,D190_K1_Da,Gồm
D190_K1_OR,D190_K1_Db,Gồm
D190_K1_OR,D190_K1_Dc,Gồm
D190_K1_OR,D190_K1_Dd,Gồm
D190_K1_OR,D190_K1_Dđ,Gồm
D190_K1_OR,D190_K1_De,Gồm
D190_K1_OR,D190_K1_HP,Áp dụng
D190,D190_K2,Gồm
D190_K2,D190_K2_HV,Quy định
D190_K2,D190_K2_OR,Cần điều kiện
D190_K2_OR,D190_K2_Da,Gồm
D190_K2_OR,D190_K2_Db,Gồm
D190_K2_OR,D190_K2_Dc,Gồm
D190_K2_OR,D190_K2_Dd,Gồm
D190_K2_OR,D190_K2_Dđ,Gồm
D190_K2_OR,D190_K2_De,Gồm
D190_K2_OR,D190_K2_Dg,Gồm
D190_K2_OR,D190_K2_Dh,Gồm
D190_K2_OR,D190_K2_Di,Gồm
D190_K2_OR,D190_K2_Dk,Gồm
D190_K2_OR,D190_K2_Dl,Gồm
D190_K2_OR,D190_K2_HP,Áp dụng
D190,D190_K3,Gồm
D190_K3,D190_K3_HV,Quy định
D190_K3,D190_K3_OR,Cần điều kiện
D190_K3_OR,D190_K3_Da,Gồm
D190_K3_OR,D190_K3_Db,Gồm
D190_K3_OR,D190_K3_Dc,Gồm
D190_K3_OR,D190_K3_Dd,Gồm
D190_K3_OR,D190_K3_Dđ,Gồm
D190_K3_OR,D190_K3_HP,Áp dụng
D190,D190_K4,Gồm
D190_K4,D190_K4_HV,Quy định
D190_K4,D190_K4_HP,Áp dụng
D190,D190_K5,Gồm
D190_K5,D190_K5_HV,Quy định
D190_K5,D190_K5_OR_a,Cần điều kiện
D190_K5_OR_a,D190_K5_Da,Gồm
D190_K5_OR_a,D190_K5_HP_a,Áp dụng
D190_K5,D190_K5_OR_b,Cần điều kiện
D190_K5_OR_b,D190_K5_Db,Gồm
D190_K5_OR_b,D190_K5_HP_b,Áp dụng
D190_K5,D190_K5_OR_c,Cần điều kiện
D190_K5_OR_c,D190_K5_Dc,Gồm
D190_K5_OR_c,D190_K5_HP_c,Áp dụng
D190_K5,D190_K5_OR_d,Cần điều kiện
D190_K5_OR_d,D190_K5_Dd,Gồm
D190_K5_OR_d,D190_K5_HP_d,Áp dụng
D190_K5,D190_K5_OR_đ,Cần điều kiện
D190_K5_OR_đ,D190_K5_Dđ,Gồm
D190_K5_OR_đ,D190_K5_HP_đ,Áp dụng
D191,D191_K1,Gồm
D191_K1,D191_K1_HV,Quy định
D191_K1,D191_K1_OR,Cần điều kiện
D191_K1_OR,D191_K1_Da,Gồm
D191_K1_OR,D191_K1_Db,Gồm
D191_K1_OR,D191_K1_Dc,Gồm
D191_K1_OR,D191_K1_Dd,Gồm
D191_K1_OR,D191_K1_Dđ,Gồm
D191_K1_OR,D191_K1_De,Gồm
D191_K1_OR,D191_K1_HP,Áp dụng
D191,D191_K2,Gồm
D191_K2,D191_K2_HV,Quy định
D191_K2,D191_K2_OR,Cần điều kiện
D191_K2_OR,D191_K2_Da,Gồm
D191_K2_OR,D191_K2_Db,Gồm
D191_K2_OR,D191_K2_Dc,Gồm
D191_K2_OR,D191_K2_Dd,Gồm
D191_K2_OR,D191_K2_Dđ,Gồm
D191_K2_OR,D191_K2_De,Gồm
D191_K2_OR,D191_K2_Dg,Gồm
D191_K2_OR,D191_K2_Dh,Gồm
D191_K2_OR,D191_K2_Di,Gồm
D191_K2_OR,D191_K2_Dk,Gồm
D191_K2_OR,D191_K2_Dl,Gồm
D191_K2_OR,D191_K2_HP,Áp dụng
D191,D191_K3,Gồm
D191_K3,D191_K3_HV,Quy định
D191_K3,D191_K3_OR,Cần điều kiện
D191_K3_OR,D191_K3_Da,Gồm
D191_K3_OR,D191_K3_Db,Gồm
D191_K3_OR,D191_K3_Dc,Gồm
D191_K3_OR,D191_K3_Dd,Gồm
D191_K3_OR,D191_K3_Dđ,Gồm
D191_K3_OR,D191_K3_HP,Áp dụng
D191,D191_K4,Gồm
D191_K4,D191_K4_HV,Quy định
D191_K4,D191_K4_HP,Áp dụng
D191,D191_K5,Gồm
D191_K5,D191_K5_HV,Quy định
D191_K5,D191_K5_OR_a,Cần điều kiện
D191_K5_OR_a,D191_K5_Da,Gồm
D191_K5_OR_a,D191_K5_HP_a,Áp dụng
D191_K5,D191_K5_OR_b,Cần điều kiện
D191_K5_OR_b,D191_K5_Db,Gồm
D191_K5_OR_b,D191_K5_HP_b,Áp dụng
D191_K5,D191_K5_OR_c,Cần điều kiện
D191_K5_OR_c,D191_K5_Dc,Gồm
D191_K5_OR_c,D191_K5_HP_c,Áp dụng
D191_K5,D191_K5_OR_d,Cần điều kiện
D191_K5_OR_d,D191_K5_Dd,Gồm
D191_K5_OR_d,D191_K5_HP_d,Áp dụng
D191_K5,D191_K5_OR_đ,Cần điều kiện
D191_K5_OR_đ,D191_K5_Dđ,Gồm
D191_K5_OR_đ,D191_K5_HP_đ,Áp dụng
D192,D192_K1,Gồm
D192_K1,D192_K1_HV,Quy định
D192_K1,D192_K1_OR,Cần điều kiện
D192_K1_OR,D192_K1_Da,Gồm
D192_K1_OR,D192_K1_Db,Gồm
D192_K1_OR,D192_K1_Dc,Gồm
D192_K1_OR,D192_K1_Dd,Gồm
D192_K1_OR,D192_K1_HP,Áp dụng
D192,D192_K2,Gồm
D192_K2,D192_K2_HV,Quy định
D192_K2,D192_K2_OR,Cần điều kiện
D192_K2_OR,D192_K2_Da,Gồm
D192_K2_OR,D192_K2_Db,Gồm
D192_K2_OR,D192_K2_Dc,Gồm
D192_K2_OR,D192_K2_Dd,Gồm
D192_K2_OR,D192_K2_Dđ,Gồm
D192_K2_OR,D192_K2_De,Gồm
D192_K2_OR,D192_K2_Dg,Gồm
D192_K2_OR,D192_K2_Dh,Gồm
D192_K2_OR,D192_K2_Di,Gồm
D192_K2_OR,D192_K2_Dk,Gồm
D192_K2_OR,D192_K2_Dl,Gồm
D192_K2_OR,D192_K2_Dm,Gồm
D192_K2_OR,D192_K2_HP,Áp dụng
D192,D192_K3,Gồm
D192_K3,D192_K3_HV,Quy định
D192_K3,D192_K3_OR,Cần điều kiện
D192_K3_OR,D192_K3_Da,Gồm
D192_K3_OR,D192_K3_Db,Gồm
D192_K3_OR,D192_K3_Dc,Gồm
D192_K3_OR,D192_K3_Dd,Gồm
D192_K3_OR,D192_K3_Dđ,Gồm
D192_K3_OR,D192_K3_HP,Áp dụng
D192,D192_K4,Gồm
D192_K4,D192_K4_HV,Quy định
D192_K4,D192_K4_HP,Áp dụng
D192,D192_K5,Gồm
D192_K5,D192_K5_HV,Quy định
D192_K5,D192_K5_OR_a,Cần điều kiện
D192_K5_OR_a,D192_K5_Da,Gồm
D192_K5_OR_a,D192_K5_HP_a,Áp dụng
D192_K5,D192_K5_OR_b,Cần điều kiện
D192_K5_OR_b,D192_K5_Db,Gồm
D192_K5_OR_b,D192_K5_HP_b,Áp dụng
D192_K5,D192_K5_OR_c,Cần điều kiện
D192_K5_OR_c,D192_K5_Dc,Gồm
D192_K5_OR_c,D192_K5_HP_c,Áp dụng
D192_K5,D192_K5_OR_d,Cần điều kiện
D192_K5_OR_d,D192_K5_Dd,Gồm
D192_K5_OR_d,D192_K5_HP_d,Áp dụng
D192_K5,D192_K5_OR_đ,Cần điều kiện
D192_K5_OR_đ,D192_K5_Dđ,Gồm
D192_K5_OR_đ,D192_K5_HP_đ,Áp dụng
D193,D193_K1,Gồm
D193_K1,D193_K1_HV,Quy định
D193_K1,D193_K1_HP,Áp dụng
D193,D193_K2,Gồm
D193_K2,D193_K2_HV,Quy định
D193_K2,D193_K2_OR,Cần điều kiện
D193_K2_OR,D193_K2_Da,Gồm
D193_K2_OR,D193_K2_Db,Gồm
D193_K2_OR,D193_K2_Dc,Gồm
D193_K2_OR,D193_K2_Dd,Gồm
D193_K2_OR,D193_K2_Dđ,Gồm
D193_K2_OR,D193_K2_De,Gồm
D193_K2_OR,D193_K2_Dg,Gồm
D193_K2_OR,D193_K2_Dh,Gồm
D193_K2_OR,D193_K2_Di,Gồm
D193_K2_OR,D193_K2_Dk,Gồm
D193_K2_OR,D193_K2_HP,Áp dụng
D193,D193_K3,Gồm
D193_K3,D193_K3_HV,Quy định
D193_K3,D193_K3_OR,Cần điều kiện
D193_K3_OR,D193_K3_Da,Gồm
D193_K3_OR,D193_K3_Db,Gồm
D193_K3_OR,D193_K3_Dc,Gồm
D193_K3_OR,D193_K3_Dd,Gồm
D193_K3_OR,D193_K3_Dđ,Gồm
D193_K3_OR,D193_K3_De,Gồm
D193_K3_OR,D193_K3_HP,Áp dụng
D193,D193_K4,Gồm
D193_K4,D193_K4_HV,Quy định
D193_K4,D193_K4_OR,Cần điều kiện
D193_K4_OR,D193_K4_Da,Gồm
D193_K4_OR,D193_K4_Db,Gồm
D193_K4_OR,D193_K4_Dc,Gồm
D193_K4_OR,D193_K4_Dd,Gồm
D193_K4_OR,D193_K4_HP,Áp dụng
D193,D193_K5,Gồm
D193_K5,D193_K5_HV,Quy định
D193_K5,D193_K5_HP,Áp dụng
D193,D193_K6,Gồm
D193_K6,D193_K6_HV,Quy định
D193_K6,D193_K6_OR_a,Cần điều kiện
D193_K6_OR_a,D193_K6_Da,Gồm
D193_K6_OR_a,D193_K6_HP_a,Áp dụng
D193_K6,D193_K6_OR_b,Cần điều kiện
D193_K6_OR_b,D193_K6_Db,Gồm
D193_K6_OR_b,D193_K6_HP_b,Áp dụng
D193_K6,D193_K6_OR_c,Cần điều kiện
D193_K6_OR_c,D193_K6_Dc,Gồm
D193_K6_OR_c,D193_K6_HP_c,Áp dụng
D193_K6,D193_K6_OR_d,Cần điều kiện
D193_K6_OR_d,D193_K6_Dd,Gồm
D193_K6_OR_d,D193_K6_HP_d,Áp dụng
D193_K6,D193_K6_OR_đ,Cần điều kiện
D193_K6_OR_đ,D193_K6_Dđ,Gồm
D193_K6_OR_đ,D193_K6_HP_đ,Áp dụng
D193_K6,D193_K6_OR_e,Cần điều kiện
D193_K6_OR_e,D193_K6_De,Gồm
D193_K6_OR_e,D193_K6_HP_e,Áp dụng
D194,D194_K1,Gồm
D194_K1,D194_K1_HV,Quy định
D194_K1,D194_K1_HP,Áp dụng
D194,D194_K2,Gồm
D194_K2,D194_K2_HV,Quy định
D194_K2,D194_K2_OR,Cần điều kiện
D194_K2_OR,D194_K2_Da,Gồm
D194_K2_OR,D194_K2_Db,Gồm
D194_K2_OR,D194_K2_Dc,Gồm
D194_K2_OR,D194_K2_Dd,Gồm
D194_K2_OR,D194_K2_Dđ,Gồm
D194_K2_OR,D194_K2_De,Gồm
D194_K2_OR,D194_K2_Dg,Gồm
D194_K2_OR,D194_K2_Dh,Gồm
D194_K2_OR,D194_K2_Di,Gồm
D194_K2_OR,D194_K2_Dk,Gồm
D194_K2_OR,D194_K2_HP,Áp dụng
D194,D194_K3,Gồm
D194_K3,D194_K3_HV,Quy định
D194_K3,D194_K3_OR,Cần điều kiện
D194_K3_OR,D194_K3_Da,Gồm
D194_K3_OR,D194_K3_Db,Gồm
D194_K3_OR,D194_K3_Dc,Gồm
D194_K3_OR,D194_K3_Dd,Gồm
D194_K3_OR,D194_K3_Dđ,Gồm
D194_K3_OR,D194_K3_De,Gồm
D194_K3_OR,D194_K3_HP,Áp dụng
D194,D194_K4,Gồm
D194_K4,D194_K4_HV,Quy định
D194_K4,D194_K4_OR,Cần điều kiện
D194_K4_OR,D194_K4_Da,Gồm
D194_K4_OR,D194_K4_Db,Gồm
D194_K4_OR,D194_K4_Dc,Gồm
D194_K4_OR,D194_K4_Dd,Gồm
D194_K4_OR,D194_K4_HP,Áp dụng
D194,D194_K5,Gồm
D194_K5,D194_K5_HV,Quy định
D194_K5,D194_K5_HP,Áp dụng
D194,D194_K6,Gồm
D194_K6,D194_K6_HV,Quy định
D194_K6,D194_K6_OR_a,Cần điều kiện
D194_K6_OR_a,D194_K6_Da,Gồm
D194_K6_OR_a,D194_K6_HP_a,Áp dụng
D194_K6,D194_K6_OR_b,Cần điều kiện
D194_K6_OR_b,D194_K6_Db,Gồm
D194_K6_OR_b,D194_K6_HP_b,Áp dụng
D194_K6,D194_K6_OR_c,Cần điều kiện
D194_K6_OR_c,D194_K6_Dc,Gồm
D194_K6_OR_c,D194_K6_HP_c,Áp dụng
D194_K6,D194_K6_OR_d,Cần điều kiện
D194_K6_OR_d,D194_K6_Dd,Gồm
D194_K6_OR_d,D194_K6_HP_d,Áp dụng
D194_K6,D194_K6_OR_đ,Cần điều kiện
D194_K6_OR_đ,D194_K6_Dđ,Gồm
D194_K6_OR_đ,D194_K6_HP_đ,Áp dụng
D194_K6,D194_K6_OR_e,Cần điều kiện
D194_K6_OR_e,D194_K6_De,Gồm
D194_K6_OR_e,D194_K6_HP_e,Áp dụng
D195,D195_K1,Gồm
D195_K1,D195_K1_HV,Quy định
D195_K1,D195_K1_OR,Cần điều kiện
D195_K1_OR,D195_K1_Da,Gồm
D195_K1_OR,D195_K1_Db,Gồm
D195_K1_OR,D195_K1_Dc,Gồm
D195_K1_OR,D195_K1_HP,Áp dụng
D195,D195_K2,Gồm
D195_K2,D195_K2_HV,Quy định
D195_K2,D195_K2_OR,Cần điều kiện
D195_K2_OR,D195_K2_Da,Gồm
D195_K2_OR,D195_K2_Db,Gồm
D195_K2_OR,D195_K2_Dc,Gồm
D195_K2_OR,D195_K2_Dd,Gồm
D195_K2_OR,D195_K2_Dđ,Gồm
D195_K2_OR,D195_K2_De,Gồm
D195_K2_OR,D195_K2_Dg,Gồm
D195_K2_OR,D195_K2_Dh,Gồm
D195_K2_OR,D195_K2_Di,Gồm
D195_K2_OR,D195_K2_HP,Áp dụng
D195,D195_K3,Gồm
D195_K3,D195_K3_HV,Quy định
D195_K3,D195_K3_OR,Cần điều kiện
D195_K3_OR,D195_K3_Da,Gồm
D195_K3_OR,D195_K3_Db,Gồm
D195_K3_OR,D195_K3_Dc,Gồm
D195_K3_OR,D195_K3_HP,Áp dụng
D195,D195_K4,Gồm
D195_K4,D195_K4_HV,Quy định
D195_K4,D195_K4_OR,Cần điều kiện
D195_K4_OR,D195_K4_Da,Gồm
D195_K4_OR,D195_K4_Db,Gồm
D195_K4_OR,D195_K4_HP,Áp dụng
D195,D195_K5,Gồm
D195_K5,D195_K5_HV,Quy định
D195_K5,D195_K5_HP,Áp dụng
D195,D195_K6,Gồm
D195_K6,D195_K6_HV,Quy định
D195_K6,D195_K6_OR_a,Cần điều kiện
D195_K6_OR_a,D195_K6_Da,Gồm
D195_K6_OR_a,D195_K6_HP_a,Áp dụng
D195_K6,D195_K6_OR_b,Cần điều kiện
D195_K6_OR_b,D195_K6_Db,Gồm
D195_K6_OR_b,D195_K6_HP_b,Áp dụng
D195_K6,D195_K6_OR_c,Cần điều kiện
D195_K6_OR_c,D195_K6_Dc,Gồm
D195_K6_OR_c,D195_K6_HP_c,Áp dụng
D195_K6,D195_K6_OR_d,Cần điều kiện
D195_K6_OR_d,D195_K6_Dd,Gồm
D195_K6_OR_d,D195_K6_HP_d,Áp dụng
D195_K6,D195_K6_OR_đ,Cần điều kiện
D195_K6_OR_đ,D195_K6_Dđ,Gồm
D195_K6_OR_đ,D195_K6_HP_đ,Áp dụng
D195_K6,D195_K6_OR_e,Cần điều kiện
D195_K6_OR_e,D195_K6_De,Gồm
D195_K6_OR_e,D195_K6_HP_e,Áp dụng
D196,D196_K1,Gồm
D196_K1,D196_K1_HV,Quy định
D196_K1,D196_K1_OR,Cần điều kiện
D196_K1_OR,D196_K1_Da,Gồm
D196_K1_OR,D196_K1_Db,Gồm
D196_K1_OR,D196_K1_HP,Áp dụng
D196,D196_K2,Gồm
D196_K2,D196_K2_HV,Quy định
D196_K2,D196_K2_OR,Cần điều kiện
D196_K2_OR,D196_K2_Da,Gồm
D196_K2_OR,D196_K2_Db,Gồm
D196_K2_OR,D196_K2_Dc,Gồm
D196_K2_OR,D196_K2_Dd,Gồm
D196_K2_OR,D196_K2_Dđ,Gồm
D196_K2_OR,D196_K2_De,Gồm
D196_K2_OR,D196_K2_HP,Áp dụng
D196,D196_K3,Gồm
D196_K3,D196_K3_HV,Quy định
D196_K3,D196_K3_OR,Cần điều kiện
D196_K3_OR,D196_K3_Da,Gồm
D196_K3_OR,D196_K3_Db,Gồm
D196_K3_OR,D196_K3_Dc,Gồm
D196_K3_OR,D196_K3_HP,Áp dụng
D196,D196_K4,Gồm
D196_K4,D196_K4_HV,Quy định
D196_K4,D196_K4_HP,Áp dụng
D196,D196_K5,Gồm
D196_K5,D196_K5_HV,Quy định
D196_K5,D196_K5_OR_a,Cần điều kiện
D196_K5_OR_a,D196_K5_Da,Gồm
D196_K5_OR_a,D196_K5_HP_a,Áp dụng
D196_K5,D196_K5_OR_b,Cần điều kiện
D196_K5_OR_b,D196_K5_Db,Gồm
D196_K5_OR_b,D196_K5_HP_b,Áp dụng
D196_K5,D196_K5_OR_c,Cần điều kiện
D196_K5_OR_c,D196_K5_Dc,Gồm
D196_K5_OR_c,D196_K5_HP_c,Áp dụng
D196_K5,D196_K5_OR_d,Cần điều kiện
D196_K5_OR_d,D196_K5_Dd,Gồm
D196_K5_OR_d,D196_K5_HP_d,Áp dụng
D197,D197_K1,Gồm
D197_K1,D197_K1_HV,Quy định
D197_K1,D197_K1_HP,Áp dụng
D197,D197_K2,Gồm
D197_K2,D197_K2_HV,Quy định
D197_K2,D197_K2_HP,Áp dụng
D198,D198_K1,Gồm
D198_K1,D198_K1_HV,Quy định
D198_K1,D198_K1_OR,Cần điều kiện
D198_K1_OR,D198_K1_Da,Gồm
D198_K1_OR,D198_K1_Db,Gồm
D198_K1_OR,D198_K1_HP,Áp dụng
D198,D198_K2,Gồm
D198_K2,D198_K2_HV,Quy định
D198_K2,D198_K2_OR,Cần điều kiện
D198_K2_OR,D198_K2_Da,Gồm
D198_K2_OR,D198_K2_Db,Gồm
D198_K2_OR,D198_K2_Dc,Gồm
D198_K2_OR,D198_K2_Dd,Gồm
D198_K2_OR,D198_K2_HP,Áp dụng
D198,D198_K3,Gồm
D198_K3,D198_K3_HV,Quy định
D198_K3,D198_K3_HP,Áp dụng
D199,D199_K1,Gồm
D199_K1,D199_K1_HV,Quy định
D199_K1,D199_K1_OR,Cần điều kiện
D199_K1_OR,D199_K1_Da,Gồm
D199_K1_OR,D199_K1_Db,Gồm
D199_K1_OR,D199_K1_Dc,Gồm
D199_K1_OR,D199_K1_Dd,Gồm
D199_K1_OR,D199_K1_HP,Áp dụng
D199,D199_K2,Gồm
D199_K2,D199_K2_HV,Quy định
D199_K2,D199_K2_OR,Cần điều kiện
D199_K2_OR,D199_K2_Da,Gồm
D199_K2_OR,D199_K2_Db,Gồm
D199_K2_OR,D199_K2_Dc,Gồm
D199_K2_OR,D199_K2_HP,Áp dụng
D199,D199_K3,Gồm
D199_K3,D199_K3_HV,Quy định
D199_K3,D199_K3_OR,Cần điều kiện
D199_K3_OR,D199_K3_Da,Gồm
D199_K3_OR,D199_K3_Db,Gồm
D199_K3_OR,D199_K3_Dc,Gồm
D199_K3_OR,D199_K3_HP,Áp dụng
D199,D199_K4,Gồm
D199_K4,D199_K4_HV,Quy định
D199_K4,D199_K4_HP,Áp dụng
