From,To,Relationship
D360,K4_D360,Gồm
K4_D360,HV_K4_D360,Quy định
K4_D360,HP_K4_D360,Áp dụng
D361,K1_D361,Gồm
K1_D361,HV_K1_D361,Quy định
K1_D361,HP_K1_D361,Áp dụng
D361,K2_D361,Gồm
K2_D361,OR_K2_D361,Cần điều kiện
OR_K2_D361,P_a_K2_D361,Gồm
OR_K2_D361,P_b_K2_D361,Gồm
OR_K2_D361,P_c_K2_D361,Gồm
OR_K2_D361,P_d_K2_D361,Gồm
OR_K2_D361,P_dd_K2_D361,Gồm
OR_K2_D361,P_e_K2_D361,Gồm
OR_K2_D361,HP_K2_D361,Áp dụng
D361,K3_D361,Gồm
K3_D361,HV_K3_D361,Quy định
K3_D361,HP_K3_D361,Áp dụng
CH23,D362,Gồm
CH23,D363,Gồm
CH23,D364,Gồm
CH23,D365,Gồm
CH23,D366,Gồm
D362,K1_D362,Gồm
K1_D362,HV_K1_D362,Quy định
K1_D362,OR_K1_D362,Cần điều kiện
OR_K1_D362,P_a_K1_D362,Gồm
OR_K1_D362,P_b_K1_D362,Gồm
OR_K1_D362,P_c_K1_D362,Gồm
OR_K1_D362,HP_K1_D362,Áp dụng
D362,K2_D362,Gồm
K2_D362,OR_K2_D362,Cần điều kiện
OR_K2_D362,P_a_K2_D362,Gồm
OR_K2_D362,P_b_K2_D362,Gồm
OR_K2_D362,HP_K2_D362,Áp dụng
D362,K3_D362,Gồm
K3_D362,HV_K3_D362,Quy định
K3_D362,HP_K3_D362,Áp dụng
D363,K1_D363,Gồm
K1_D363,HV_K1_D363,Quy định
K1_D363,HP_K1_D363,Áp dụng
D363,K2_D363,Gồm
K2_D363,OR_K2_D363,Cần điều kiện
OR_K2_D363,P_a_K2_D363,Gồm
OR_K2_D363,P_b_K2_D363,Gồm
OR_K2_D363,P_c_K2_D363,Gồm
OR_K2_D363,HP_K2_D363,Áp dụng
D363,K3_D363,Gồm
K3_D363,HV_K3_D363,Quy định
K3_D363,HP_K3_D363,Áp dụng
D364,K1_D364,Gồm
K1_D364,HV_K1_D364,Quy định
K1_D364,OR_K1_D364,Cần điều kiện
OR_K1_D364,P_a_K1_D364,Gồm
OR_K1_D364,P_b_K1_D364,Gồm
OR_K1_D364,HP_K1_D364,Áp dụng
D364,K2_D364,Gồm
K2_D364,OR_K2_D364,Cần điều kiện
OR_K2_D364,P_a_K2_D364,Gồm
OR_K2_D364,P_b_K2_D364,Gồm
OR_K2_D364,P_c_K2_D364,Gồm
OR_K2_D364,P_d_K2_D364,Gồm
OR_K2_D364,P_dd_K2_D364,Gồm
OR_K2_D364,P_e_K2_D364,Gồm
OR_K2_D364,HP_K2_D364,Áp dụng
D364,K3_D364,Gồm
K3_D364,HV_K3_D364,Quy định
K3_D364,HP_K3_D364,Áp dụng
D364,K4_D364,Gồm
K4_D364,HV_K4_D364,Quy định
K4_D364,HP_K4_D364,Áp dụng
D364,K5_D364,Gồm
K5_D364,HV_K5_D364,Quy định
K5_D364,HP_K5_D364,Áp dụng
D364,K6_D364,Gồm
K6_D364,HV_K6_D364,Quy định
K6_D364,HP_K6_D364,Áp dụng
D364,K7_D364,Gồm
K7_D364,HV_1_K7_D364,Quy định
K7_D364,HP_1_K7_D364,Áp dụng
K7_D364,HV_2_K7_D364,Quy định
K7_D364,HP_2_K7_D364,Áp dụng
D365,K1_D365,Gồm
K1_D365,HV_K1_D365,Quy định
K1_D365,OR_K1_D365,Cần điều kiện
OR_K1_D365,P_a_K1_D365,Gồm
OR_K1_D365,P_b_K1_D365,Gồm
OR_K1_D365,HP_K1_D365,Áp dụng
D365,K2_D365,Gồm
K2_D365,OR_K2_D365,Cần điều kiện
OR_K2_D365,P_a_K2_D365,Gồm
OR_K2_D365,P_b_K2_D365,Gồm
OR_K2_D365,P_c_K2_D365,Gồm
OR_K2_D365,P_d_K2_D365,Gồm
OR_K2_D365,P_dd_K2_D365,Gồm
OR_K2_D365,P_e_K2_D365,Gồm
OR_K2_D365,P_g_K2_D365,Gồm
OR_K2_D365,HP_K2_D365,Áp dụng
D365,K3_D365,Gồm
K3_D365,HV_K3_D365,Quy định
K3_D365,HP_K3_D365,Áp dụng
D365,K4_D365,Gồm
K4_D365,HV_K4_D365,Quy định
K4_D365,HP_K4_D365,Áp dụng
D365,K5_D365,Gồm
K5_D365,HV_K5_D365,Quy định
K5_D365,HP_K5_D365,Áp dụng
D365,K6_D365,Gồm
K6_D365,HV_K6_D365,Quy định
K6_D365,HP_K6_D365,Áp dụng
D365,K7_D365,Gồm
K7_D365,HV_K7_D365,Quy định
K7_D365,HP_K7_D365,Áp dụng
D366,K1_D366,Gồm
K1_D366,HV_K1_D366,Quy định
K1_D366,OR_K1_D366,Cần điều kiện
OR_K1_D366,P_a_K1_D366,Gồm
OR_K1_D366,P_b_K1_D366,Gồm
OR_K1_D366,HP_K1_D366,Áp dụng
D366,K2_D366,Gồm
K2_D366,OR_K2_D366,Cần điều kiện
OR_K2_D366,P_a_K2_D366,Gồm
OR_K2_D366,P_b_K2_D366,Gồm
OR_K2_D366,P_c_K2_D366,Gồm
OR_K2_D366,HP_K2_D366,Áp dụng
D366,K3_D366,Gồm
K3_D366,HV_K3_D366,Quy định
K3_D366,HP_K3_D366,Áp dụng
D366,K4_D366,Gồm
K4_D366,HV_K4_D366,Quy định
K4_D366,HP_K4_D366,Áp dụng
