From,To,Relationship
OR2_272,P2A_272,Gồm
OR2_272,P2B_272,Gồm
OR2_272,P2C_272,Gồm
OR2_272,P2D_272,Gồm
OR2_272,P2DD_272,Gồm
OR2_272,P2E_272,Gồm
OR2_272,P2G_272,Gồm
OR2_272,HP2_272,Áp dụng
D272,K3_272,Gồm
K3_272,HV3_272,Quy định
K3_272,OR3_272,Cần điều kiện
OR3_272,P3A_272,Gồm
OR3_272,P3B_272,Gồm
OR3_272,P3C_272,Gồm
OR3_272,HP3_272,Áp dụng
D272,K4_272,Gồm
K4_272,HV4_272,Quy định
K4_272,OR4_272,Cần điều kiện
OR4_272,P3A_272,Gồm
OR4_272,P3B_272,Gồm
OR4_272,P3C_272,Gồm
OR4_272,HP4_272,Áp dụng
D272,K5_272,Gồm
K5_272,HV5_272,Quy định
K5_272,HP5_272,Áp dụng
D273,K1_273,Gồm
K1_273,HV1_273,Quy định
K1_273,OR1_273,Cần điều kiện
OR1_273,P1A_273,Gồm
OR1_273,P1B_273,Gồm
OR1_273,P1C_273,Gồm
OR1_273,P1D_273,Gồm
OR1_273,HP1_273,Áp dụng
D273,K2_273,Gồm
K2_273,HV2_273,Quy định
K2_273,OR2_273,Cần điều kiện
OR2_273,P2A_273,Gồm
OR2_273,P2B_273,Gồm
OR2_273,P2C_273,Gồm
OR2_273,HP2_273,Áp dụng
D273,K3_273,Gồm
K3_273,HV3_273,Quy định
K3_273,OR3_273,Cần điều kiện
OR3_273,P3A_273,Gồm
OR3_273,P3B_273,Gồm
OR3_273,P3C_273,Gồm
OR3_273,HP3_273,Áp dụng
D273,K4_273,Gồm
K4_273,HV4_273,Quy định
K4_273,OR4_273,Cần điều kiện
OR4_273,P3A_273,Gồm
OR4_273,P3B_273,Gồm
OR4_273,P3C_273,Gồm
OR4_273,HP4_273,Áp dụng
D274,K1_274,Gồm
K1_274,HV1_274,Quy định
K1_274,OR1_274,Cần điều kiện
OR1_274,P1A_274,Gồm
OR1_274,P1B_274,Gồm
OR1_274,P1C_274,Gồm
OR1_274,P1D_274,Gồm
OR1_274,HP1_274,Áp dụng
D274,K2_274,Gồm
K2_274,HV2_274,Quy định
K2_274,OR2_274,Cần điều kiện
OR2_274,P2A_274,Gồm
OR2_274,P2B_274,Gồm
OR2_274,P2C_274,Gồm
OR2_274,HP2_274,Áp dụng
D274,K3_274,Gồm
K3_274,HV3_274,Quy định
K3_274,OR3_274,Cần điều kiện
OR3_274,P3A_274,Gồm
OR3_274,P3B_274,Gồm
OR3_274,P3C_274,Gồm
OR3_274,HP3_274,Áp dụng
D274,K4_274,Gồm
K4_274,HV4_274,Quy định
K4_274,HP4_274,Áp dụng
C21,D275,Gồm
C21,D276,Gồm
C21,D277,Gồm
D275,K1_275,Gồm
K1_275,HV1_275,Quy định
K1_275,OR1_275,Cần điều kiện
OR1_275,P1A_275,Gồm
OR1_275,P1B_275,Gồm
OR1_275,P1C_275,Gồm
OR1_275,P1D_275,Gồm
OR1_275,HP1_275,Áp dụng
D275,K2_275,Gồm
K2_275,HV2_275,Quy định
K2_275,OR2_275,Cần điều kiện
OR2_275,P2A_275,Gồm
OR2_275,P2B_275,Gồm
OR2_275,P2C_275,Gồm
OR2_275,HP2_275,Áp dụng
D275,K3_275,Gồm
K3_275,HV3_275,Quy định
K3_275,OR3_275,Cần điều kiện
OR3_275,P3A_275,Gồm
OR3_275,P3B_275,Gồm
OR3_275,P3C_275,Gồm
OR3_275,HP3_275,Áp dụng
D275,K4_275,Gồm
K4_275,HV4_275,Quy định
K4_275,HP4_275,Áp dụng
D276,K1_276,Gồm
K1_276,HV1_276,Quy định
K1_276,OR1_276,Cần điều kiện
OR1_276,P1A_276,Gồm
OR1_276,P1B_276,Gồm
OR1_276,P1C_276,Gồm
OR1_276,P1D_276,Gồm
OR1_276,HP1_276,Áp dụng
D276,K2_276,Gồm
K2_276,HV2_276,Quy định
K2_276,OR2_276,Cần điều kiện
OR2_276,P2A_276,Gồm
OR2_276,P2B_276,Gồm
OR2_276,P2C_276,Gồm
OR2_276,HP2_276,Áp dụng
D276,K3_276,Gồm
K3_276,HV3_276,Quy định
K3_276,OR3_276,Cần điều kiện
OR3_276,P3A_276,Gồm
OR3_276,P3B_276,Gồm
OR3_276,P3C_276,Gồm
OR3_276,HP3_276,Áp dụng
D276,K4_276,Gồm
K4_276,HV4_276,Quy định
K4_276,HP4_276,Áp dụng
D277,K1_277,Gồm
K1_277,HV1_277,Quy định
K1_277,HP1_277,Áp dụng
D277,K2_277,Gồm
K2_277,HV2_277,Quy định
K2_277,OR2_277,Cần điều kiện
OR2_277,P2A_277,Gồm
OR2_277,P2B_277,Gồm
OR2_277,P2C_277,Gồm
OR2_277,P2D_277,Gồm
OR2_277,HP2_277,Áp dụng
D277,K3_277,Gồm
K3_277,HV3_277,Quy định
K3_277,OR3_277,Cần điều kiện
OR3_277,P3A_277,Gồm
OR3_277,P3B_277,Gồm
OR3_277,P3C_277,Gồm
OR3_277,HP3_277,Áp dụng
D277,K4_277,Gồm
K4_277,HV4_277,Quy định
K4_277,OR4_277,Cần điều kiện
OR4_277,P4A_277,Gồm
OR4_277,P4B_277,Gồm
OR4_277,P4C_277,Gồm
OR4_277,HP4_277,Áp dụng
D277,K5_277,Gồm
K5_277,HV5_277,Quy định
K5_277,HP5_277,Áp dụng
C21,D278,Gồm
C21,D279,Gồm
C21,D280,Gồm
C21,D281,Gồm
D278,K1_278,Gồm
K1_278,HV1_278,Quy định
K1_278,OR1_278,Cần điều kiện
OR1_278,P1A_278,Gồm
OR1_278,P1B_278,Gồm
OR1_278,P1C_278,Gồm
OR1_278,P1D_278,Gồm
OR1_278,HP1_278,Áp dụng
D278,K2_278,Gồm
K2_278,HV2_278,Quy định
K2_278,OR2_278,Cần điều kiện
OR2_278,P2A_278,Gồm
OR2_278,P2B_278,Gồm
OR2_278,P2C_278,Gồm
OR2_278,P2D_278,Gồm
OR2_278,HP2_278,Áp dụng
D278,K3_278,Gồm
K3_278,HV3_278,Quy định
K3_278,OR3_278,Cần điều kiện
OR3_278,P3A_278,Gồm
OR3_278,P3B_278,Gồm
OR3_278,P3C_278,Gồm
OR3_278,HP3_278,Áp dụng
D278,K4_278,Gồm
K4_278,HV4_278,Quy định
K4_278,OR4_278,Cần điều kiện
OR4_278,P3A_278,Gồm
OR4_278,P3B_278,Gồm
OR4_278,P3C_278,Gồm
OR4_278,HP4_278,Áp dụng
D278,K5_278,Gồm
K5_278,HV5_278,Quy định
K5_278,HP5_278,Áp dụng
D279,K1_279,Gồm
K1_279,HV1_279,Quy định
K1_279,HP1_279,Áp dụng
D279,K2_279,Gồm
K2_279,HV2_279,Quy định
K2_279,OR2_279,Cần điều kiện
OR2_279,P2A_279,Gồm
OR2_279,P2B_279,Gồm
OR2_279,P2C_279,Gồm
OR2_279,P2D_279,Gồm
OR2_279,HP2_279,Áp dụng
D279,K3_279,Gồm
K3_279,HV3_279,Quy định
K3_279,OR3_279,Cần điều kiện
OR3_279,P3A_279,Gồm
OR3_279,P3B_279,Gồm
OR3_279,P3C_279,Gồm
OR3_279,HP3_279,Áp dụng
D279,K4_279,Gồm
K4_279,HV4_279,Quy định
K4_279,OR4_279,Cần điều kiện
OR4_279,P4A_279,Gồm
OR4_279,P4B_279,Gồm
OR4_279,P4C_279,Gồm
OR4_279,HP4_279,Áp dụng
D279,K5_279,Gồm
K5_279,HV5_279,Quy định
K5_279,HP5_279,Áp dụng
D280,K1_280,Gồm
K1_280,HV1_280,Quy định
K1_280,HP1_280,Áp dụng
D280,K2_280,Gồm
K2_280,HV2_280,Quy định
K2_280,OR2_280,Cần điều kiện
OR2_280,P2A_280,Gồm
OR2_280,P2B_280,Gồm
OR2_280,P2C_280,Gồm
OR2_280,P2D_280,Gồm
OR2_280,HP2_280,Áp dụng
D280,K3_280,Gồm
K3_280,HV3_280,Quy định
K3_280,OR3_280,Cần điều kiện
OR3_280,P3A_280,Gồm
OR3_280,P3B_280,Gồm
OR3_280,P3C_280,Gồm
OR3_280,HP3_280,Áp dụng
D280,K4_280,Gồm
K4_280,HV4_280,Quy định
K4_280,OR4_280,Cần điều kiện
OR4_280,P4A_280,Gồm
OR4_280,P4B_280,Gồm
OR4_280,P4C_280,Gồm
OR4_280,HP4_280,Áp dụng
D280,K5_280,Gồm
K5_280,HV5_280,Quy định
K5_280,HP5_280,Áp dụng
D281,K1_281,Gồm
K1_281,HV1_281,Quy định
K1_281,OR1_281,Cần điều kiện
OR1_281,P1A_281,Gồm
OR1_281,P1B_281,Gồm
OR1_281,P1C_281,Gồm
OR1_281,P1D_281,Gồm
OR1_281,P1DD_281,Gồm
OR1_281,P1E_281,Gồm
OR1_281,P1G_281,Gồm
OR1_281,P1H_281,Gồm
OR1_281,HP1_281,Áp dụng
D281,K2_281,Gồm
K2_281,HV2_281,Quy định
K2_281,OR2_281,Cần điều kiện
OR2_281,P2A_281,Gồm
OR2_281,P2B_281,Gồm
OR2_281,P2C_281,Gồm
OR2_281,HP2_281,Áp dụng
D281,K3_281,Gồm
K3_281,HV3_281,Quy định
K3_281,OR3_281,Cần điều kiện
OR3_281,P3A_281,Gồm
OR3_281,P3B_281,Gồm
OR3_281,P3C_281,Gồm
OR3_281,HP3_281,Áp dụng
D281,K4_281,Gồm
K4_281,HV4_281,Quy định
K4_281,HP4_281,Áp dụng
C21,D282,Gồm
C21,D283,Gồm
C21,D284,Gồm
D282,K1_282,Gồm
K1_282,HV1_282,Quy định
K1_282,HP1_282,Áp dụng
D282,K2_282,Gồm
K2_282,HV2_282,Quy định
K2_282,OR2_282,Cần điều kiện
OR2_282,P2A_282,Gồm
OR2_282,P2B_282,Gồm
OR2_282,P2C_282,Gồm
OR2_282,P2D_282,Gồm
OR2_282,P2DD_282,Gồm
OR2_282,HP2_282,Áp dụng
D282,K3_282,Gồm
K3_282,HV3_282,Quy định
K3_282,OR3_282,Cần điều kiện
OR3_282,P3A_282,Gồm
OR3_282,P3B_282,Gồm
OR3_282,P3C_282,Gồm
OR3_282,P3D_282,Gồm
OR3_282,HP3_282,Áp dụng
D282,K4_282,Gồm
K4_282,HV4_282,Quy định
K4_282,HP4_282,Áp dụng
D283,K1_283,Gồm
K1_283,HV1_283,Quy định
K1_283,HP1_283,Áp dụng
D283,K2_283,Gồm
K2_283,HV2_283,Quy định
K2_283,HP2_283,Áp dụng
D283,K3_283,Gồm
K3_283,HV3_283,Quy định
K3_283,HP3_283,Áp dụng
D284,K1_284,Gồm
K1_284,HV1_284,Quy định
K1_284,OR1_284,Cần điều kiện
OR1_284,P1A_284,Gồm
OR1_284,P1B_284,Gồm
OR1_284,P1C_284,Gồm
OR1_284,P1D_284,Gồm
OR1_284,P1DD_284,Gồm
OR1_284,HP1_284,Áp dụng
D284,K2_284,Gồm
K2_284,HV2_284,Quy định
K2_284,HP2_284,Áp dụng
D284,K3_284,Gồm
K3_284,HV3_284,Quy định
K3_284,HP3_284,Áp dụng
C21,D285,Gồm
C21,D286,Gồm
C21,D287,Gồm
D285,K1_285,Gồm
K1_285,HV1_285,Quy định
K1_285,HP1_285,Áp dụng
D285,K2_285,Gồm
K2_285,HV2_285,Quy định
K2_285,OR2_285,Cần điều kiện
OR2_285,P2A_285,Gồm
OR2_285,P2B_285,Gồm
OR2_285,P2C_285,Gồm
OR2_285,P2D_285,Gồm
OR2_285,P2DD_285,Gồm
OR2_285,P2E_285,Gồm
OR2_285,HP2_285,Áp dụng
D285,K3_285,Gồm
K3_285,HV3_285,Quy định
K3_285,OR3_285,Cần điều kiện
OR3_285,P3A_285,Gồm
OR3_285,P3B_285,Gồm
OR3_285,HP3_285,Áp dụng
D285,K4_285,Gồm
K4_285,HV4_285,Quy định
K4_285,HP4_285,Áp dụng
D286,K1_286,Gồm
K1_286,HV1_286,Quy định
K1_286,OR1_286,Cần điều kiện
OR1_286,P1A_286,Gồm
OR1_286,P1B_286,Gồm
OR1_286,P1C_286,Gồm
OR1_286,P1D_286,Gồm
OR1_286,HP1_286,Áp dụng
D286,K2_286,Gồm
K2_286,HV2_286,Quy định
K2_286,OR2_286,Cần điều kiện
OR2_286,P2A_286,Gồm
OR2_286,P2B_286,Gồm
OR2_286,P2C_286,Gồm
OR2_286,P2D_286,Gồm
OR2_286,P2DD_286,Gồm
OR2_286,HP2_286,Áp dụng
D286,K3_286,Gồm
K3_286,HV3_286,Quy định
K3_286,OR3_286,Cần điều kiện
OR3_286,P3A_286,Gồm
OR3_286,P3B_286,Gồm
OR3_286,P3C_286,Gồm
OR3_286,P3D_286,Gồm
OR3_286,P3DD_286,Gồm
OR3_286,HP3_286,Áp dụng
D286,K4_286,Gồm
K4_286,HV4_286,Quy định
K4_286,HP4_286,Áp dụng
D287,K1_287,Gồm
K1_287,HV1_287,Quy định
K1_287,OR1_287,Cần điều kiện
OR1_287,P1A_287,Gồm
OR1_287,P1B_287,Gồm
OR1_287,P1C_287,Gồm
OR1_287,P1D_287,Gồm
OR1_287,P1DD_287,Gồm
OR1_287,HP1_287,Áp dụng
D287,K2_287,Gồm
K2_287,HV2_287,Quy định
K2_287,OR2_287,Cần điều kiện
OR2_287,P2A_287,Gồm
OR2_287,P2B_287,Gồm
OR2_287,P2C_287,Gồm
OR2_287,P2D_287,Gồm
OR2_287,P2DD_287,Gồm
OR2_287,P2E_287,Gồm
OR2_287,P2G_287,Gồm
OR2_287,HP2_287,Áp dụng
D287,K3_287,Gồm
K3_287,HV3_287,Quy định
K3_287,OR3_287,Cần điều kiện
OR3_287,P3A_287,Gồm
OR3_287,P3B_287,Gồm
OR3_287,P3C_287,Gồm
OR3_287,P3D_287,Gồm
OR3_287,P3DD_287,Gồm
OR3_287,P3E_287,Gồm
OR3_287,HP3_287,Áp dụng
D287,K4_287,Gồm
K4_287,HV4_287,Quy định
K4_287,HP4_287,Áp dụng
C21,D288,Gồm
C21,D289,Gồm
C21,D290,Gồm
C21,D291,Gồm
D288,K1_288,Gồm
K1_288,HV1_288,Quy định
K1_288,OR1_288,Cần điều kiện
OR1_288,P1A_288,Gồm
OR1_288,P1B_288,Gồm
OR1_288,P1C_288,Gồm
OR1_288,HP1_288,Áp dụng
D288,K2_288,Gồm
K2_288,HV2_288,Quy định
K2_288,OR2_288,Cần điều kiện
OR2_288,P2A_288,Gồm
OR2_288,P2B_288,Gồm
OR2_288,P2C_288,Gồm
OR2_288,P2D_288,Gồm
OR2_288,P2DD_288,Gồm
OR2_288,P2E_288,Gồm
OR2_288,P2G_288,Gồm
OR2_288,HP2_288,Áp dụng
D288,K3_288,Gồm
K3_288,HV3_288,Quy định
K3_288,HP3_288,Áp dụng
D289,K1_289,Gồm
K1_289,HV1_289,Quy định
K1_289,HP1_289,Áp dụng
D289,K2_289,Gồm
K2_289,HV2_289,Quy định
K2_289,OR2_289,Cần điều kiện
OR2_289,P2A_289,Gồm
OR2_289,P2B_289,Gồm
OR2_289,P2C_289,Gồm
OR2_289,P2D_289,Gồm
OR2_289,P2DD_289,Gồm
OR2_289,P2E_289,Gồm
OR2_289,HP2_289,Áp dụng
D289,K3_289,Gồm
K3_289,HV3_289,Quy định
K3_289,OR3_289,Cần điều kiện
OR3_289,P3A_289,Gồm
OR3_289,P3B_289,Gồm
