ID,Name,Label,Content
D4_K1_Db,Điểm b Khoản 1 Điều 4,Điểm,"Quy định có lợi cho người phạm tội tại các điều 40, 63, 109, 110, 114, 194, 248, 250, 251, 353, 354 và 421 của Bộ luật Hình sự số 100/2015/QH13 đã được sửa đổi, bổ sung một số điều theo Luật số 12/2017/QH14 và Luật số 59/2024/QH15 (sau đây gọi là Bộ luật Hình sự) được sửa đổi, bổ sung tại các khoản 1, 4, 5, 6, 7, 10, 18, 22, 23 và 29 Điều 1 của Luật này và các quy định khác có lợi cho người phạm tội thì được áp dụng đối với cả những hành vi phạm tội xảy ra trước 0 giờ 00 phút ngày 01 tháng 7 năm"
D4_K1_Dc,Điểm c Khoản 1 Điều 4,Điểm,"Quy định không có lợi cho người phạm tội tại các điều 63, 192, 193, 194, 195, 235, 236, 237, 238, 239, 240, 241, 242, 243, 244, 245, 246, 248, 249, 250, 251, 252, 255, 317, 353, 354, 355, 356, 357, 358 và 359 của Bộ luật Hình sự được sửa đổi, bổ sung tại các khoản 4, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 24, 25, 26, 27 và 28 Điều 1 của Luật này và các quy định khác không có lợi cho người phạm tội thì không áp dụng đối với những hành vi xảy ra trước 0 giờ 00 phút ngày 01 tháng"
D4_K1_Dd,Điểm d Khoản 1 Điều 4,Điểm,"Đối với những hành vi phạm tội đã có bản án, quyết định của Tòa án đã có hiệu lực pháp luật trước 0 giờ 00 phút ngày 01 tháng 7 năm 2025 thì không căn cứ vào những quy định của Luật này có nội dung khác so với các điều luật đã được áp dụng khi tuyên án để kháng nghị giám đốc thẩm; trường hợp kháng nghị dựa vào căn cứ khác hoặc đã kháng nghị trước ngày 01 tháng 7 năm 2025 thì việc xét xử giám đốc thẩm được áp dụng quy định tại điểm b và điểm c khoản này."
D4_K2,Khoản 2 Điều 4,Khoản,"Cơ quan, tổ chức có nhiệm vụ giáo dục những người thuộc quyền quản lý của mình nâng cao cảnh giác, ý thức bảo vệ và tuân theo pháp luật, tôn trọng các quy tắc của cuộc sống xã hội chủ nghĩa; kịp thời có biện pháp loại trừ nguyên nhân và điều kiện gây ra tội phạm trong cơ quan, tổ chức của mình. Hình phạt tử hình đã tuyên trước ngày 01 tháng 7 năm 2025 đối với người phạm tội về các tội quy định tại các điều 109, 110, 114, 194, 250, 353, 354 và 421 của Bộ luật Hình sự hoặc thuộc trường hợp quy địn"
D4_K3,Khoản 3 Điều 4,Khoản,"Mọi công dân có nghĩa vụ tích cực tham gia phòng, chống tội phạm. HIỆU LỰC CỦA BỘ LUẬT HÌNH SỰ Hình phạt tử hình đã tuyên trước ngày 01 tháng 7 năm 2025 đối với người phạm tội về các tội quy định tại Điều 248 hoặc Điều 251 của Bộ luật Hình sự mà chưa thi hành án thì không thi hành và Chánh án Tòa án nhân dân tối cao quyết định chuyển hình phạt tử hình thành tù chung thân đối với các trường hợp sau:"
D4_K3_Da,Điểm a Khoản 3 Điều 4,Điểm,"Khối lượng, thể tích chất ma túy được xác định trong bản án để quyết định hình phạt bằng hoặc thấp hơn khối lượng, thể tích chất ma túy thấp nhất quy định tại khoản 5 Điều 248 hoặc khoản 5 Điều 251 của Bộ luật Hình sự được sửa đổi, bổ sung tại khoản 18 Điều 1 của Luật này:"
D4_K3_Db,Điểm b Khoản 3 Điều 4,Điểm,"Khối lượng, thể tích chất ma túy được xác định trong bản án để quyết định hình phạt lớn hơn khối lượng, thể tích chất ma túy thấp nhất quy định tại khoản 5 Điều 248 hoặc khoán 5 Điều 251 của Bộ luật Hình sự được sửa đổi, bổ sung tại khoản 18 Điều 1 của Luật này mà người phạm tội không phải là người chủ mưu, cầm đầu, chỉ huy hoặc không có 02 tình tiết tăng nặng trở lên."
D4_K4,Khoản 4 Điều 4,Khoản,Người phạm tội về các tội quy định tại Điều 353 và Điều 354 của Bộ luật Hình sự mà theo quy định tại khoản 2 Điều này được chuyển thành tù chung thân thì vẫn áp dụng quy định tại điểm a khoản 4 Điều 1 của Luật này khi xét giảm mức hình phạt đã tuyên.
D4_K5,Khoản 5 Điều 4,Khoản,Hình phạt tù chung thân đã tuyên trước ngày 01 tháng 7 năm 2025 khi xét giảm mức hình phạt đã tuyên đối với người phạm tội về các tội quy định tại Điều 353 và Điều 354 của Bộ luật Hình sự thì không áp dụng quy định tại điểm a khoản 4 Điều 1 của Luật này khi xét giảm mức hình phạt đã tuyên.
D4_K6,Khoản 6 Điều 4,Khoản,"Trách nhiệm triển khai, thi hành Luật này được quy định như sau:"
D4_K6_Da,Điểm a Khoản 6 Điều 4,Điểm,"Giao Tòa án nhân dân tối cao chủ trì, phối hợp với Bộ Công an, Bộ Quốc phòng, Viện kiểm sát nhân dân tối cao và các cơ quan có liên quan tổ chức việc rà soát người bị kết án tử hình thuộc diện được chuyển từ hình phạt tử hình thành tù chung thân để thực hiện theo quy định tại khoản 2 và khoản 3 Điều này;"
D4_K6_Db,Điểm b Khoản 6 Điều 4,Điểm,"Chính phủ, Tòa án nhân dân tối cao, Viện kiểm sát nhân dân tối cao, trong phạm vi chức năng, nhiệm vụ, quyền hạn của mình, phối hợp tổ chức rà soát các văn bản có liên quan để kịp thời hủy bỏ, sửa đổi, bổ sung hoặc ban hành mới hoặc đề nghị Quốc hội, Ủy ban Thường vụ Quốc hội hủy bỏ, sửa đối, bổ sung hoặc ban hành mới văn bản quy phạm pháp luật cho phù hợp với quy định của Luật này."". [401] Cụm từ “ngày 01 tháng 7 năm 2016” được thay thế bằng cụm từ “ngày 01 tháng 01 năm 2018” theo quy định tại "
D5,Hiệu lực của Bộ luật Hình sự đối với những hành vi phạm tội trên lãnh thổ nước...,Điều,Hiệu lực của Bộ luật Hình sự đối với những hành vi phạm tội trên lãnh thổ nước Cộng hòa xã hội chủ nghĩa Việt Nam
D5_K1,Khoản 1 Điều 5,Khoản,"Bộ luật Hình sự được áp dụng đối với mọi hành vi phạm tội thực hiện trên lãnh thổ nước Cộng hòa xã hội chủ nghĩa Việt Nam. Quy định này cũng được áp dụng đối với hành vi phạm tội hoặc hậu quả của hành vi phạm tội xảy ra trên tàu bay, tàu biển mang quốc tịch Việt Nam hoặc tại vùng đặc quyền kinh tế, thềm lục địa của Việt Nam."
D5_K2,Khoản 2 Điều 5,Khoản,"Đối với người nước ngoài phạm tội trên lãnh thổ nước Cộng hòa xã hội chủ nghĩa Việt Nam thuộc đối tượng được hưởng quyền miễn trừ ngoại giao hoặc lãnh sự theo pháp luật Việt Nam, theo điều ước quốc tế mà Cộng hòa xã hội chủ nghĩa Việt Nam là thành viên hoặc theo tập quán quốc tế, thì vấn đề trách nhiệm hình sự của họ được giải quyết theo quy định của điều ước quốc tế hoặc theo tập quán quốc tế đó; trường hợp điều ước quốc tế đó không quy định hoặc không có tập quán quốc tế thì trách nhiệm"
D6,Hiệu lực của Bộ luật Hình sự đối với những hành vi phạm tội ở ngoài lãnh thổ...,Điều,Hiệu lực của Bộ luật Hình sự đối với những hành vi phạm tội ở ngoài lãnh thổ nước Cộng hòa xã hội chủ nghĩa Việt Nam
D6_K1,Khoản 1 Điều 6,Khoản,"Công dân Việt Nam hoặc pháp nhân thương mại Việt Nam có hành vi phạm tội ở ngoài lãnh thổ nước Cộng hòa xã hội chủ nghĩa Việt Nam mà Bộ luật này quy định là tội phạm, thì có thể bị truy cứu trách nhiệm hình sự tại Việt Nam theo quy định của Bộ luật này. Quy định này cũng được áp dụng đối với người không quốc tịch thường trú ở Việt Nam."
D6_K2,Khoản 2 Điều 6,Khoản,"Người nước ngoài, pháp nhân thương mại nước ngoài phạm tội ở ngoài lãnh thổ nước Cộng hòa xã hội chủ nghĩa Việt Nam có thể bị truy cứu trách nhiệm hình sự theo quy định của Bộ luật này trong trường hợp hành vi phạm tội xâm hại quyền, lợi ích hợp pháp của công dân Việt Nam hoặc xâm hại lợi ích của nước Cộng hòa xã hội chủ nghĩa Việt Nam hoặc theo quy định của điều ước quốc tế mà Cộng hòa xã hội chủ nghĩa Việt Nam là thành viên."
D6_K3,Khoản 3 Điều 6,Khoản,"Đối với hành vi phạm tội hoặc hậu quả của hành vi phạm tội xảy ra trên tàu bay, tàu biển không mang quốc tịch Việt Nam đang ở tại biển cả hoặc tại giới hạn vùng trời nằm ngoài lãnh thổ nước Cộng hòa xã hội chủ nghĩa Việt Nam, thì người phạm tội có thể bị truy cứu trách nhiệm hình sự theo quy định của Bộ luật này trong trường hợp điều ước quốc tế mà Cộng hòa xã hội chủ nghĩa Việt Nam là thành viên có quy định."
D7,Hiệu lực của Bộ luật Hình sự về thời gian,Điều,Hiệu lực của Bộ luật Hình sự về thời gian
D7_K1,Khoản 1 Điều 7,Khoản,Điều luật được áp dụng đối với một hành vi phạm tội là điều luật đang có hiệu lực thi hành tại thời điểm mà hành vi phạm tội được thực hiện.
D7_K2,Khoản 2 Điều 7,Khoản,"Điều luật quy định một tội phạm mới, một hình phạt nặng hơn, một tình tiết tăng nặng mới hoặc hạn chế phạm vi áp dụng án treo, miễn trách nhiệm hình sự, loại trừ trách nhiệm hình sự, miễn hình phạt, giảm hình phạt, xóa án tích và quy định khác không có lợi cho người phạm tội, thì không được áp dụng đối với hành vi phạm tội đã thực hiện trước khi điều luật đó có hiệu lực thi hành."
D7_K3,Khoản 3 Điều 7,Khoản,"Điều luật xóa bỏ một tội phạm, một hình phạt, một tình tiết tăng nặng, quy định một hình phạt nhẹ hơn, một tình tiết giảm nhẹ mới hoặc mở rộng phạm vi áp dụng án treo, miễn trách nhiệm hình sự, loại trừ trách nhiệm hình sự, miễn hình phạt, giảm hình phạt, tha tù trước thời hạn có điều kiện, xóa án tích và quy định khác có lợi cho người phạm tội, thì được áp dụng đối với hành vi phạm tội đã thực hiện trước khi điều luật đó có hiệu lực thi hành. TỘI PHẠM"
D8,Khái niệm tội phạm,Điều,Khái niệm tội phạm
D8_K1,Khoản 1 Điều 8,Khoản,"Tội phạm là hành vi nguy hiểm cho xã hội được quy định trong Bộ luật Hình sự, do người có năng lực trách nhiệm hình sự hoặc pháp nhân thương mại thực hiện một cách cố ý hoặc vô ý, xâm phạm độc lập, chủ quyền, thống nhất, toàn vẹn lãnh thổ Tổ quốc, xâm phạm chế độ chính trị, chế độ kinh tế, nền văn hoá, quốc phòng, an ninh, trật tự, an toàn xã hội, quyền, lợi ích hợp pháp của tổ chức, xâm phạm quyền con người, quyền, lợi ích hợp pháp của công dân, xâm phạm những lĩnh vực khác của trật tự pháp lu"
D8_K2,Khoản 2 Điều 8,Khoản,Những hành vi tuy có dấu hiệu của tội phạm nhưng tính chất nguy hiểm cho xã hội không đáng kể thì không phải là tội phạm và được xử lý bằng các biện pháp khác.
D9,Phân loại tội phạm[5],Điều,Phân loại tội phạm[5]
D9_K1,Khoản 1 Điều 9,Khoản,"Căn cứ vào tính chất và mức độ nguy hiểm cho xã hội của hành vi phạm tội được quy định trong Bộ luật này, tội phạm được phân thành 04 loại sau đây:"
D9_K1_Da,Điểm a Khoản 1 Điều 9,Điểm,"Tội phạm ít nghiêm trọng là tội phạm có tính chất và mức độ nguy hiểm cho xã hội không lớn mà mức cao nhất của khung hình phạt do Bộ luật này quy định đối với tội ấy là phạt tiền, phạt cải tạo không giam giữ hoặc phạt tù đến 03 năm;"
D9_K1_Db,Điểm b Khoản 1 Điều 9,Điểm,Tội phạm nghiêm trọng là tội phạm có tính chất và mức độ nguy hiểm cho xã hội lớn mà mức cao nhất của khung hình phạt do Bộ luật này quy định đối với tội ấy là từ trên 03 năm tù đến 07 năm tù;
D9_K1_Dc,Điểm c Khoản 1 Điều 9,Điểm,Tội phạm rất nghiêm trọng là tội phạm có tính chất và mức độ nguy hiểm cho xã hội rất lớn mà mức cao nhất của khung hình phạt do Bộ luật này quy định đối với tội ấy là từ trên 07 năm tù đến 15 năm tù;
D9_K1_Dd,Điểm d Khoản 1 Điều 9,Điểm,"Tội phạm đặc biệt nghiêm trọng là tội phạm có tính chất và mức độ nguy hiểm cho xã hội đặc biệt lớn mà mức cao nhất của khung hình phạt do Bộ luật này quy định đối với tội ấy là từ trên 15 năm tù đến 20 năm tù, tù chung thân hoặc tử hình."
D9_K2,Khoản 2 Điều 9,Khoản,Tội phạm do pháp nhân thương mại thực hiện được phân loại căn cứ vào tính chất và mức độ nguy hiểm cho xã hội của hành vi phạm tội theo quy định tại khoản 1 Điều này và quy định tương ứng đối với các tội phạm được quy định tại Điều 76 của Bộ luật này.
D10,Cố ý phạm tội Cố ý phạm tội là phạm tội trong những trường hợp sau đây:,Điều,Cố ý phạm tội Cố ý phạm tội là phạm tội trong những trường hợp sau đây:
D10_K1,Khoản 1 Điều 10,Khoản,"Người phạm tội nhận thức rõ hành vi của mình là nguy hiểm cho xã hội, thấy trước hậu quả của hành vi đó và mong muốn hậu quả xảy ra;"
D10_K2,Khoản 2 Điều 10,Khoản,"Người phạm tội nhận thức rõ hành vi của mình là nguy hiểm cho xã hội, thấy trước hậu quả của hành vi đó có thể xảy ra, tuy không mong muốn nhưng vẫn có ý thức để mặc cho hậu quả xảy ra."
D11,Vô ý phạm tội Vô ý phạm tội là phạm tội trong những trường hợp sau đây:,Điều,Vô ý phạm tội Vô ý phạm tội là phạm tội trong những trường hợp sau đây:
D11_K1,Khoản 1 Điều 11,Khoản,Người phạm tội tuy thấy trước hành vi của mình có thể gây ra hậu quả nguy hại cho xã hội nhưng cho rằng hậu quả đó sẽ không xảy ra hoặc có thể ngăn ngừa được;
D11_K2,Khoản 2 Điều 11,Khoản,"Người phạm tội không thấy trước hành vi của mình có thể gây ra hậu quả nguy hại cho xã hội, mặc dù phải thấy trước và có thể thấy trước hậu quả đó."
D12,Tuổi chịu trách nhiệm hình sự,Điều,Tuổi chịu trách nhiệm hình sự
D12_K1,Khoản 1 Điều 12,Khoản,"Người từ đủ 16 tuổi trở lên phải chịu trách nhiệm hình sự về mọi tội phạm, trừ những tội phạm mà Bộ luật này có quy định khác."
D12_K2,Khoản 2 Điều 12,Khoản,"Người từ đủ 14 tuổi đến dưới 16 tuổi phải chịu trách nhiệm hình sự về tội phạm rất nghiêm trọng, tội phạm đặc biệt nghiêm trọng quy định tại một trong các điều 123, 134, 141, 142, 143, 144, 150, 151, 168, 169, 170, 171, 173, 178, 248, 249, 250, 251, 252, 265, 266, 286, 287, 289, 290, 299, 303 và 304 của Bộ luật này."
D13,"Phạm tội do dùng rượu, bia hoặc chất kích thích mạnh khác Người phạm tội trong...",Điều,"Phạm tội do dùng rượu, bia hoặc chất kích thích mạnh khác Người phạm tội trong tình trạng mất khả năng nhận thức hoặc khả năng điều khiển hành vi của mình do dùng rượu, bia hoặc chất kích thích mạnh khác, thì vẫn phải chịu trách nhiệm hình sự."
D14,Chuẩn bị phạm tội[7],Điều,Chuẩn bị phạm tội[7]
D14_K1,Khoản 1 Điều 14,Khoản,"Chuẩn bị phạm tội là tìm kiếm, sửa soạn công cụ, phương tiện hoặc tạo ra những điều kiện khác để thực hiện tội phạm hoặc thành lập, tham gia nhóm tội phạm, trừ trường hợp thành lập hoặc tham gia nhóm tội phạm quy định tại Điều 109, điểm a khoản 2 Điều 113 hoặc điểm a khoản 2 Điều 299 của Bộ luật này."
D14_K2,Khoản 2 Điều 14,Khoản,"Người chuẩn bị phạm tội quy định tại một trong các điều 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 123, 134, 168, 169, 207, 299, 300, 301, 302, 303 và 324 của Bộ luật này thì phải chịu trách nhiệm hình sự."
D14_K3,Khoản 3 Điều 14,Khoản,"Người từ đủ 14 tuổi đến dưới 16 tuổi chuẩn bị phạm tội quy định tại Điều 123, Điều 168 của Bộ luật này thì phải chịu trách nhiệm hình sự."
D15,Phạm tội chưa đạt Phạm tội chưa đạt là cố ý thực hiện tội phạm nhưng không thực...,Điều,Phạm tội chưa đạt Phạm tội chưa đạt là cố ý thực hiện tội phạm nhưng không thực hiện được đến cùng vì những nguyên nhân ngoài ý muốn của người phạm tội. Người phạm tội chưa đạt phải chịu trách nhiệm hình sự về tội phạm chưa đạt.
D16,Tự ý nửa chừng chấm dứt việc phạm tội Tự ý nửa chừng chấm dứt việc phạm tội là...,Điều,"Tự ý nửa chừng chấm dứt việc phạm tội Tự ý nửa chừng chấm dứt việc phạm tội là tự mình không thực hiện tội phạm đến cùng, tuy không có gì ngăn cản. Người tự ý nửa chừng chấm dứt việc phạm tội được miễn trách nhiệm hình sự về tội định phạm; nếu hành vi thực tế đã thực hiện có đủ yếu tố cấu thành của một tội khác, thì người đó phải chịu trách nhiệm hình sự về tội này."
D17,Đồng phạm,Điều,Đồng phạm
D17_K1,Khoản 1 Điều 17,Khoản,Đồng phạm là trường hợp có hai người trở lên cố ý cùng thực hiện một tội phạm.
D17_K2,Khoản 2 Điều 17,Khoản,Phạm tội có tổ chức là hình thức đồng phạm có sự câu kết chặt chẽ giữa những người cùng thực hiện tội phạm.
D17_K3,Khoản 3 Điều 17,Khoản,"Người đồng phạm bao gồm người tổ chức, người thực hành, người xúi giục, người giúp sức. Người thực hành là người trực tiếp thực hiện tội phạm. Người tổ chức là người chủ mưu, cầm đầu, chỉ huy việc thực hiện tội phạm. Người xúi giục là người kích động, dụ dỗ, thúc đẩy người khác thực hiện tội phạm. Người giúp sức là người tạo điều kiện tinh thần hoặc vật chất cho việc thực hiện tội phạm."
D17_K4,Khoản 4 Điều 17,Khoản,Người đồng phạm không phải chịu trách nhiệm hình sự về hành vi vượt quá của người thực hành.
D18,Che giấu tội phạm,Điều,Che giấu tội phạm
D18_K1,Khoản 1 Điều 18,Khoản,"Người nào không hứa hẹn trước, nhưng sau khi biết tội phạm được thực hiện đã che giấu người phạm tội, dấu vết, tang vật của tội phạm hoặc có hành vi khác cản trở việc phát hiện, điều tra, xử lý người phạm tội, thì phải chịu trách nhiệm hình sự về tội che giấu tội phạm trong những trường hợp mà Bộ luật này quy định."
D18_K2,Khoản 2 Điều 18,Khoản,"Người che giấu tội phạm là ông, bà, cha, mẹ, con, cháu, anh chị em ruột, vợ hoặc chồng của người phạm tội không phải chịu trách nhiệm hình sự theo quy định tại khoản 1 Điều này, trừ trường hợp che giấu các tội xâm phạm an ninh quốc gia hoặc tội đặc biệt nghiêm trọng khác quy định tại Điều 389 của Bộ luật này."
D19,Không tố giác tội phạm[8],Điều,Không tố giác tội phạm[8]
D19_K1,Khoản 1 Điều 19,Khoản,"Người nào biết rõ tội phạm đang được chuẩn bị, đang được thực hiện hoặc đã được thực hiện mà không tố giác, thì phải chịu trách nhiệm hình sự về tội không tố giác tội phạm quy định tại Điều 390 của Bộ luật này."
D19_K2,Khoản 2 Điều 19,Khoản,"Người không tố giác là ông, bà, cha, mẹ, con, cháu, anh chị em ruột, vợ hoặc chồng của người phạm tội không phải chịu trách nhiệm hình sự theo quy định tại khoản 1 Điều này, trừ trường hợp không tố giác các tội quy định tại Chương XIII của Bộ luật này hoặc tội khác là tội phạm đặc biệt nghiêm trọng."
D19_K3,Khoản 3 Điều 19,Khoản,"Người không tố giác là người bào chữa không phải chịu trách nhiệm hình sự theo quy định tại khoản 1 Điều này, trừ trường hợp không tố giác các tội quy định tại Chương XIII của Bộ luật này hoặc tội khác là tội phạm đặc biệt nghiêm trọng do chính người mà mình bào chữa đang chuẩn bị, đang thực hiện hoặc đã thực hiện mà người bào chữa biết rõ khi thực hiện việc bào chữa. NHỮNG TRƯỜNG HỢP LOẠI TRỪ TRÁCH NHIỆM HÌNH SỰ"
D20,Sự kiện bất ngờ Người thực hiện hành vi gây hậu quả nguy hại cho xã hội trong...,Điều,"Sự kiện bất ngờ Người thực hiện hành vi gây hậu quả nguy hại cho xã hội trong trường hợp không thể thấy trước hoặc không buộc phải thấy trước hậu quả của hành vi đó, thì không phải chịu trách nhiệm hình sự."
D21,Tình trạng không có năng lực trách nhiệm hình sự Người thực hiện hành vi nguy...,Điều,"Tình trạng không có năng lực trách nhiệm hình sự Người thực hiện hành vi nguy hiểm cho xã hội trong khi đang mắc bệnh tâm thần, một bệnh khác làm mất khả năng nhận thức hoặc khả năng điều khiển hành vi của mình, thì không phải chịu trách nhiệm hình sự."
D22,Phòng vệ chính đáng,Điều,Phòng vệ chính đáng
D22_K1,Khoản 1 Điều 22,Khoản,"Phòng vệ chính đáng là hành vi của người vì bảo vệ quyền hoặc lợi ích chính đáng của mình, của người khác hoặc lợi ích của Nhà nước, của cơ quan, tổ chức mà chống trả lại một cách cần thiết người đang có hành vi xâm phạm các lợi ích nói trên. Phòng vệ chính đáng không phải là tội phạm."
D22_K2,Khoản 2 Điều 22,Khoản,"Vượt quá giới hạn phòng vệ chính đáng là hành vi chống trả rõ ràng quá mức cần thiết, không phù hợp với tính chất và mức độ nguy hiểm cho xã hội của hành vi xâm hại. Người có hành vi vượt quá giới hạn phòng vệ chính đáng phải chịu trách nhiệm hình sự theo quy định của Bộ luật này."
D23,Tình thế cấp thiết,Điều,Tình thế cấp thiết
D23_K1,Khoản 1 Điều 23,Khoản,"Tình thế cấp thiết là tình thế của người vì muốn tránh gây thiệt hại cho quyền, lợi ích hợp pháp của mình, của người khác hoặc lợi ích của Nhà nước, của cơ quan, tổ chức mà không còn cách nào khác là phải gây một thiệt hại nhỏ hơn thiệt hại cần ngăn ngừa. Hành vi gây thiệt hại trong tình thế cấp thiết không phải là tội phạm."
D23_K2,Khoản 2 Điều 23,Khoản,"Trong trường hợp thiệt hại gây ra rõ ràng vượt quá yêu cầu của tình thế cấp thiết, thì người gây thiệt hại đó phải chịu trách nhiệm hình sự."
D24,Gây thiệt hại trong khi bắt giữ người phạm tội,Điều,Gây thiệt hại trong khi bắt giữ người phạm tội
D24_K1,Khoản 1 Điều 24,Khoản,Hành vi của người để bắt giữ người thực hiện hành vi phạm tội mà không còn cách nào khác là buộc phải sử dụng vũ lực cần thiết gây thiệt hại cho người bị bắt giữ thì không phải là tội phạm.
D24_K2,Khoản 2 Điều 24,Khoản,"Trường hợp gây thiệt hại do sử dụng vũ lực rõ ràng vượt quá mức cần thiết, thì người gây thiệt hại phải chịu trách nhiệm hình sự."
